| term                                    |              estimate |            std.error |           statistic |              p.value |
| GenusJuglans:N                          |      -2.9393945416419 |     1.97389266741732 |    -1.4891359546352 |    0.136466656112986 |
| GenusPicea:N                            |     -3.79255246122154 |     1.10564787807112 |   -3.43016301703387 | 0.000604383608819605 |
| GenusPinus:N                            |     -3.02910200308351 |     1.55951053871463 |   -1.94234147694837 |   0.0521091864340535 |
| GenusPlatanus:N                         |     -8.45561843242468 |     16.7822546831755 |  -0.503842814452197 |    0.614377147646311 |
| GenusPopulus:N                          |      1.03734108309203 |     3.01804380293535 |    0.34371306409904 |    0.731065541960738 |
| GenusQuercus:N                          |     -1.78119609914731 |    0.978570002441339 |   -1.82020304597891 |   0.0687423812014852 |
| GenusRobinia:N                          |     -7.22993964033529 |     2.76937061950321 |   -2.61067969358043 |  0.00904269602283251 |
| GenusThuja:N                            |      1.96708680916264 |     2.28454161839144 |   0.861042229796485 |    0.389224659841854 |
| GenusTilia:N                            |     -2.02922703236365 |    0.549886326969574 |    -3.6902663929593 | 0.000224587920991261 |
| GenusUlmus:N                            |     -2.13916817192305 |     1.32301807995434 |    -1.6168850632766 |    0.105918180797179 |
| GenusAbies:Sugar                        |     -14.5575932862432 |     10.9478061715736 |   -1.32972698439277 |    0.183622748592507 |
| GenusAcer:Sugar                         |    -0.711500334121638 |    0.340122426067257 |   -2.09189479902435 |   0.0364599607179781 |
| GenusBetula:Sugar                       |      -3.1925100033012 |     2.36975245085872 |    -1.3471913499422 |    0.177933214516459 |
| GenusCarya:Sugar                        |     -1.65406363870463 |     4.99760774422626 |  -0.330971081236931 |    0.740669646552462 |
| GenusCatalpa:Sugar                      |      4.83398677229415 |     4.56681852869593 |    1.05850204949451 |    0.289838846745107 |
| GenusCeltis:Sugar                       |     -2.60227814649951 |     1.32245412152049 |   -1.96776440418783 |   0.0491083490900049 |
| GenusFraxinus:Sugar                     |    -0.141969883230472 |    0.454640566588854 |  -0.312268402038263 |    0.754839666096625 |
| GenusGinkgo:Sugar                       |      2.62490644509882 |     5.41370088411485 |   0.484863589859748 |    0.627778191612764 |
| GenusGleditsia:Sugar                    |     -2.00515768041389 |    0.607936485653297 |   -3.29830126622376 |  0.00097434109970245 |
| GenusJuglans:Sugar                      |     -2.91720308037992 |      2.1927104890699 |   -1.33040959803924 |      0.1833978656487 |
| GenusPicea:Sugar                        |      3.06428000382612 |     1.41255708423159 |    2.16931410279467 |   0.0300700757661036 |
| GenusPinus:Sugar                        |     0.372385900619671 |     1.80660791984519 |   0.206124359651639 |    0.836695778226981 |
| GenusPlatanus:Sugar                     |     -36.2903962126632 |     16.5696839723648 |   -2.19016827799425 |   0.0285230421782269 |
| GenusPopulus:Sugar                      |     0.965686312585244 |     2.45747338109378 |   0.392959012298816 |    0.694353761311256 |
| GenusQuercus:Sugar                      |    -0.126463493498085 |    0.925765167249688 |  -0.136604290128769 |    0.891344900633599 |
| GenusRobinia:Sugar                      |     -4.07411915610401 |      3.6312436712102 |   -1.12196248034939 |     0.26189127889308 |
| GenusThuja:Sugar                        |      1.02955034617032 |     3.26410422464417 |    0.31541589217561 |    0.752449050310062 |
| GenusTilia:Sugar                        |     -1.14214090849685 |    0.601031626805583 |   -1.90030084534354 |   0.0574073939382351 |
| GenusUlmus:Sugar                        |      2.56197097290224 |     1.42371144486709 |    1.79950156482826 |   0.0719537903879229 |
| GenusAbies:LMA                          |       9.7096461988232 |     6.72801275695889 |    1.44316703156966 |    0.148988407211771 |
| GenusAcer:LMA                           |     0.250002374349816 |    0.233120995397044 |    1.07241466571477 |    0.283546202601073 |
| GenusBetula:LMA                         |    -0.719100494647294 |     1.55988918395374 |  -0.460994602722125 |    0.644807272975271 |
| GenusCarya:LMA                          |     -1.65382998930464 |     3.89851804027662 |  -0.424220170900452 |    0.671409616662273 |
| GenusCatalpa:LMA                        |     0.171076408751485 |     2.46665385622088 |  0.0693556610385491 |    0.944707184582893 |
| GenusCeltis:LMA                         |    -0.519581182486143 |    0.918499974520116 |   -0.56568448219893 |    0.571614357030977 |
| GenusFraxinus:LMA                       |    -0.234446563564754 |    0.255517780982702 |  -0.917535220692236 |    0.358872830169799 |
| GenusGinkgo:LMA                         |     -3.50869188926375 |     2.98845984898304 |   -1.17408031781245 |    0.240376230464441 |
| GenusGleditsia:LMA                      |   -0.0939448374968854 |    0.345203230223636 |  -0.272143564346209 |    0.785514321178589 |
| GenusJuglans:LMA                        |       1.0613054279744 |     1.44167442601474 |    0.73616165260571 |    0.461640586028228 |
| GenusPicea:LMA                          |     -1.37613879084763 |    0.856223547787385 |   -1.60721904274156 |    0.108021427715868 |
| GenusPinus:LMA                          |    -0.678747446046982 |     1.27898737603479 |   -0.53069127871401 |    0.595638367683057 |
| GenusPlatanus:LMA                       |      12.5710509246965 |     13.7033644040254 |   0.917369673173383 |    0.358959541435199 |
| GenusPopulus:LMA                        |      1.91501728220854 |     2.13057022131706 |   0.898828521608044 |    0.368754357505969 |
| GenusQuercus:LMA                        |    -0.568738861769588 |    0.646692476461309 |  -0.879457984236524 |    0.379163113139929 |
| GenusRobinia:LMA                        |     0.531114397407082 |     2.21552300791107 |   0.239724162426031 |    0.810546452341927 |
| GenusThuja:LMA                          |      2.56777936306126 |     1.83516770541188 |    1.39920692560626 |    0.161765776665706 |
| GenusTilia:LMA                          |     -1.25520544828496 |    0.524450768232221 |   -2.39337135974825 |   0.0167030981225123 |
| GenusUlmus:LMA                          |     -2.11464456583262 |    0.934165425746645 |   -2.26367247978853 |   0.0236044708169808 |
| GenusAbies:lignin                       |      15.6456166141568 |      8.6106787025475 |    1.81700155755759 |    0.069231186045161 |
| GenusAcer:lignin                        |     -2.21785889311835 |    0.375495969821109 |    -5.9064785546832 | 3.54908143340979e-09 |
| GenusBetula:lignin                      |     -1.45286720352726 |     2.36355269258983 |  -0.614696345921232 |     0.53876196334091 |
| GenusCarya:lignin                       |     -1.88237889731526 |     4.71728313397184 |  -0.399038778011686 |    0.689868707324133 |
| GenusCatalpa:lignin                     |     -8.14042087415289 |     5.41956838600328 |   -1.50204228351035 |    0.133101292548531 |
| GenusCeltis:lignin                      |      1.73883346234582 |     1.61796508773913 |    1.07470394480241 |    0.282519700288188 |
| GenusFraxinus:lignin                    |     -2.40689005211114 |    0.510888104159326 |   -4.71118828666349 | 2.47859940368641e-06 |
| GenusGinkgo:lignin                      |      1.51348082104958 |     5.77698103782703 |   0.261984730629974 |    0.793335795469174 |
| GenusGleditsia:lignin                   |    -0.581901388571632 |    0.609924677135834 |  -0.954054509327615 |    0.340067082039898 |
| GenusJuglans:lignin                     |     -3.18062052793712 |     2.48934769186528 |   -1.27769236026401 |    0.201372107513523 |
| GenusPicea:lignin                       |     -4.89872483864666 |     1.35313364031148 |    -3.6202816135138 | 0.000294977694919286 |
| GenusPinus:lignin                       |    -0.778043977039207 |     1.95420822249451 |  -0.398137705124406 |    0.690532747743343 |
| GenusPlatanus:lignin                    |       16.836343787607 |     10.2989768180117 |    1.63475887800449 |    0.102114660125189 |
| GenusPopulus:lignin                     |     -2.72762812501298 |     2.52015665999556 |   -1.08232482857545 |    0.279120700708292 |
| GenusQuercus:lignin                     |     -2.49217012217441 |     1.19199708904779 |   -2.09075185256136 |    0.036562358923951 |
| GenusRobinia:lignin                     |     -6.57236093777652 |     3.66952206204151 |   -1.79106729068691 |   0.0732969583576103 |
| GenusThuja:lignin                       |   -0.0509404571960984 |     3.90327849299192 | -0.0130506847737251 |    0.989587480223697 |
| GenusTilia:lignin                       |     -0.15591503805857 |    0.683737556932827 |  -0.228033455932987 |    0.819622461662674 |
| GenusUlmus:lignin                       |     -3.43184919962072 |     1.50405708918015 |   -2.28172801704714 |   0.0225154075793045 |
